
 The epoch is 10, average recall: 0.7759, average precision: 0.7031,average F1: 0.7377, average accuracy: 0.7288, average AUC: 0.8279
 The epoch is 20, average recall: 0.6897, average precision: 0.7692,average F1: 0.7273, average accuracy: 0.7458, average AUC: 0.8471
 The epoch is 30, average recall: 0.7414, average precision: 0.8113,average F1: 0.7748, average accuracy: 0.7881, average AUC: 0.8661
 The epoch is 40, average recall: 0.7931, average precision: 0.7667,average F1: 0.7797, average accuracy: 0.7797, average AUC: 0.8552
 The epoch is 50, average recall: 0.7931, average precision: 0.7797,average F1: 0.7863, average accuracy: 0.7881, average AUC: 0.8572
 The epoch is 60, average recall: 0.7586, average precision: 0.7458,average F1: 0.7521, average accuracy: 0.7542, average AUC: 0.8385
 The epoch is 70, average recall: 0.8276, average precision: 0.7500,average F1: 0.7869, average accuracy: 0.7797, average AUC: 0.8434
 The epoch is 80, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8368
 The epoch is 90, average recall: 0.7931, average precision: 0.7419,average F1: 0.7667, average accuracy: 0.7627, average AUC: 0.8328
 The epoch is 100, average recall: 0.8276, average precision: 0.7385,average F1: 0.7805, average accuracy: 0.7712, average AUC: 0.8437
 The epoch is 110, average recall: 0.7931, average precision: 0.7419,average F1: 0.7667, average accuracy: 0.7627, average AUC: 0.8207
 The epoch is 120, average recall: 0.8276, average precision: 0.7742,average F1: 0.8000, average accuracy: 0.7966, average AUC: 0.8543
 The epoch is 130, average recall: 0.7931, average precision: 0.7541,average F1: 0.7731, average accuracy: 0.7712, average AUC: 0.8339
 The epoch is 140, average recall: 0.7414, average precision: 0.7544,average F1: 0.7478, average accuracy: 0.7542, average AUC: 0.8152
 The epoch is 150, average recall: 0.7759, average precision: 0.7627,average F1: 0.7692, average accuracy: 0.7712, average AUC: 0.8466
 The epoch is 160, average recall: 0.7069, average precision: 0.7455,average F1: 0.7257, average accuracy: 0.7373, average AUC: 0.8428
 The epoch is 170, average recall: 0.7931, average precision: 0.7419,average F1: 0.7667, average accuracy: 0.7627, average AUC: 0.8135
 The epoch is 180, average recall: 0.8448, average precision: 0.7538,average F1: 0.7967, average accuracy: 0.7881, average AUC: 0.8167
 The epoch is 190, average recall: 0.7759, average precision: 0.7500,average F1: 0.7627, average accuracy: 0.7627, average AUC: 0.8184
 The epoch is 200, average recall: 0.7931, average precision: 0.7419,average F1: 0.7667, average accuracy: 0.7627, average AUC: 0.8264
